Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,88.16,88.41,87.12,87.99,1042800,77.31,-0.014338434164704927,78.9542857142857,77.1258
2016-01-05,2016,1,5,Tuesday,01,2016-01,88.48,88.88,87.23,87.67,1449700,77.03,-0.0036370006143249256,78.81357142857144,76.9924
2016-01-06,2016,1,6,Wednesday,01,2016-01,86.71,88.04,86.21,87.73,2128400,77.08,0.0006845135422450799,78.71214285714287,76.86439999999999
2016-01-07,2016,1,7,Thursday,01,2016-01,86.71,87.18,85.42,85.7,1713000,75.3,-0.023139062223476836,78.35357142857143,76.7132
2016-01-08,2016,1,8,Friday,01,2016-01,85.98,86.23,84.75,84.92,1182100,74.61,-0.009101506633412249,78.045,76.5592
2016-01-11,2016,1,11,Monday,02,2016-02,84.29,84.94,83.52,84.25,1611100,74.02,-0.007889950528292333,77.76142857142858,76.49980000000001
2016-01-12,2016,1,12,Tuesday,02,2016-02,84.99,85.2,84.01,85.01,843300,74.69,0.009020786572846218,77.5,76.4412
2016-01-13,2016,1,13,Wednesday,02,2016-02,85.24,85.3,83.42,83.6,1348600,73.45,-0.016586393394329546,77.11500000000001,76.3624
2016-01-14,2016,1,14,Thursday,02,2016-02,84.09,85.07,83.48,84.57,1549100,74.3,0.011603100406096578,76.75285714285714,76.31339999999999
2016-01-15,2016,1,15,Friday,02,2016-02,83.2,83.74,82.62,83.32,1547100,73.21,-0.01478074942741836,76.31357142857144,76.2408
2016-01-19,2016,1,19,Tuesday,03,2016-03,83.67,84.74,83.52,84.61,1166800,74.34,0.015482630033613498,75.95071428571428,76.197
2016-01-20,2016,1,20,Wednesday,03,2016-03,83.88,85.58,82.65,84.99,1741300,74.67,0.004490842357762981,75.57428571428571,76.1598
2016-01-21,2016,1,21,Thursday,03,2016-03,84.96,85.28,83.82,84.66,1667100,74.38,-0.0038827751927007492,75.20142857142856,76.1438
2016-01-22,2016,1,22,Friday,03,2016-03,85.23,86.19,84.88,85.25,1121100,74.9,0.006969117861849394,74.94928571428571,76.15639999999999
2016-01-25,2016,1,25,Monday,04,2016-04,84.91,85.21,83.03,83.77,2127100,73.6,-0.01736037475821306,74.6842857142857,76.131
2016-01-26,2016,1,26,Tuesday,04,2016-04,84.13,85.49,83.64,85.08,1379500,74.75,0.0156377661500966,74.52142857142857,76.115
2016-01-27,2016,1,27,Wednesday,04,2016-04,85.16,86.05,84.29,84.43,2222400,74.18,-0.0076397590394646775,74.3142857142857,76.1124
2016-01-28,2016,1,28,Thursday,04,2016-04,85.72,88.23,82.42,87.0,3498400,76.44,0.03043926632856464,74.39571428571428,76.1784
2016-01-29,2016,1,29,Friday,04,2016-04,87.25,88.28,86.64,88.11,2351800,77.41,0.012758777941609845,74.59571428571428,76.2474
