Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,200.49,201.03,198.59,201.02,222353500,181.32,-0.013979443844209682,184.03071428571428,185.7134
2016-01-05,2016,1,5,Tuesday,01,2016-01,201.4,201.9,200.05,201.36,110845800,181.63,0.0016912824647046243,184.00857142857146,185.665
2016-01-06,2016,1,6,Wednesday,01,2016-01,198.34,200.06,197.6,198.82,152112600,179.34,-0.01261422378233823,183.68642857142854,185.53040000000001
2016-01-07,2016,1,7,Thursday,01,2016-01,195.33,197.44,193.59,194.05,213436100,175.04,-0.023991350126892685,182.86499999999998,185.319
2016-01-08,2016,1,8,Friday,01,2016-01,195.19,195.85,191.58,191.92,209817200,173.12,-0.010976649470066935,182.10928571428573,185.07620000000003
2016-01-11,2016,1,11,Monday,02,2016-02,193.01,193.41,189.82,192.11,187941300,173.29,0.0009900977881323048,181.6,184.7948
2016-01-12,2016,1,12,Tuesday,02,2016-02,193.82,194.55,191.14,193.66,172330500,174.69,0.00806827620681827,181.08428571428573,184.5436
2016-01-13,2016,1,13,Wednesday,02,2016-02,194.45,194.86,188.38,188.83,221168900,170.33,-0.02494094052299034,180.13928571428573,184.22119999999998
2016-01-14,2016,1,14,Thursday,02,2016-02,189.55,193.26,187.66,191.93,240795600,173.13,0.016416941600741586,179.23214285714286,183.9108
2016-01-15,2016,1,15,Friday,02,2016-02,186.77,188.76,185.52,187.81,324846400,169.41,-0.02146601782330282,178.0807142857143,183.515
2016-01-19,2016,1,19,Tuesday,03,2016-03,189.96,190.11,186.2,188.06,195244400,169.63,0.0013310658317347013,176.97571428571428,183.135
2016-01-20,2016,1,20,Wednesday,03,2016-03,185.03,187.5,181.02,185.65,286547800,167.46,-0.012814874735532666,175.5742857142857,182.71539999999996
2016-01-21,2016,1,21,Thursday,03,2016-03,186.21,188.87,184.64,186.69,195772900,168.4,0.005601887396587069,174.335,182.3166
2016-01-22,2016,1,22,Friday,03,2016-03,189.78,190.76,188.88,190.52,168319600,171.85,0.02051490131588185,173.4742857142857,182.02199999999996
2016-01-25,2016,1,25,Monday,04,2016-04,189.92,190.15,187.41,187.64,130371700,169.26,-0.015116342358175716,172.61285714285714,181.667
2016-01-26,2016,1,26,Tuesday,04,2016-04,188.42,190.53,188.02,190.2,141036800,171.56,0.013643030814986634,171.89357142857142,181.37260000000003
2016-01-27,2016,1,27,Wednesday,04,2016-04,189.58,191.56,187.06,188.13,185681700,169.7,-0.010883108111653605,171.20499999999998,181.093
2016-01-28,2016,1,28,Thursday,04,2016-04,189.96,190.2,187.16,189.11,143798800,170.58,0.005209284492627031,170.88642857142858,180.87239999999997
2016-01-29,2016,1,29,Friday,04,2016-04,190.02,193.88,189.88,193.72,210529300,174.74,0.02437725814950964,171.00214285714284,180.6796
2016-02-01,2016,2,1,Monday,05,2016-05,192.53,194.58,191.84,193.65,136061600,174.68,-0.00036134215294603145,171.10142857142858,180.4884
2016-02-02,2016,2,2,Tuesday,05,2016-05,191.96,191.97,189.54,190.16,182564900,171.53,-0.018022273990418225,170.8757142857143,180.1756
2016-02-03,2016,2,3,Wednesday,05,2016-05,191.41,191.78,187.1,191.3,205054900,172.56,0.005995125118980926,171.035,179.8868
2016-02-04,2016,2,4,Thursday,05,2016-05,190.71,192.75,189.96,191.6,139531800,172.83,0.0015679972919948604,171.01357142857142,179.5896
2016-02-05,2016,2,5,Friday,05,2016-05,190.99,191.67,187.2,187.95,180788300,169.54,-0.019049788437216497,171.02285714285713,179.23100000000002
2016-02-08,2016,2,8,Monday,06,2016-06,185.77,186.12,182.8,185.42,191526700,167.25,-0.013461217736949749,170.85285714285712,178.8216
2016-02-09,2016,2,9,Tuesday,06,2016-06,183.36,186.94,183.2,185.43,184513100,167.26,5.391796586762254e-05,170.83857142857144,178.41299999999998
2016-02-10,2016,2,10,Wednesday,06,2016-06,186.41,188.34,185.12,185.27,148214100,167.12,-0.0008628233957054254,170.74714285714285,177.99720000000002
2016-02-11,2016,2,11,Thursday,06,2016-06,182.34,184.1,181.09,182.86,219058900,164.94,-0.013008219605342486,170.25357142857143,177.5534
2016-02-12,2016,2,12,Friday,06,2016-06,184.96,186.65,183.96,186.63,127632400,168.34,0.020617108982993182,170.18785714285715,177.142
2016-02-16,2016,2,16,Tuesday,07,2016-07,188.77,189.81,187.63,189.78,120250700,171.19,0.01687821195062722,170.1614285714286,176.826
2016-02-17,2016,2,17,Wednesday,07,2016-07,191.16,193.32,191.01,192.88,136009500,173.98,0.01633484825566134,170.46714285714287,176.6182
2016-02-18,2016,2,18,Thursday,07,2016-07,193.2,193.27,191.72,192.09,102343000,173.27,-0.0040959139526551835,170.65928571428572,176.3244
2016-02-19,2016,2,19,Friday,07,2016-07,191.17,192.18,190.45,192.0,114793000,173.19,-0.00046849985729247035,170.54857142857145,176.05180000000001
